brand,type,handedness,sales,price,review_score
Fender,  Electric  ,  Right  ,329.0,1770.5,2.9
PRS,Electric,  R  ,249.0,3732.71,3.6
Gretsch,Electric,Right,437.0,525.95,3.1
Ibanez,Electric,Right,368.0,1038.25,2.6
Gibson,Electric,Right,399.0,2120.15,3.0
,Electric,  Right  ,394.0,1992.08,3.9
PRS,ELECTRIC,Right,336.0,3607.01,3.7
Fender,Electric,Right,341.0,1994.6,3.4
Martin,Bass,Right,217.0,3102.31,4.0
Fender,Electric,Right-handed,461.0,495.94,
Gibson,  Classical  ,Right,357.0,2383.82,4.4
Yamaha,Electric,Right,505.0,1040.24,2.7
Gretsch,Electric,  RIGHT  ,300.0,2992.04,4.2
Ibanez,  Acoustic  ,  Right  ,423.0,1169.14,3.3
SCHECTER,Acoustic,  right  ,415.0,,2.9
Schecter,Semi-Hollow,Right,459.0,491.23,2.5
Fender,Electric,right,472.0,1457.83,3.2
Yamaha,Electric,Right,429.0,1105.13,3.4
ibanez,Electric,RIGHT,383.0,1114.14,2.6
ibanez,Electric,  right  ,,1847.72,2.8
SCHECTER,  Electric  ,  Right  ,467.0,883.7,4.5
Schecter,  Electric  ,Right,485.0,1081.4,3.3
Yamaha,Electric,Right,510.0,479.34,3.5
Gretsch,,Right,505.0,920.02,3.4
yamaha,Semi-Hollow,  right  ,411.0,1082.43,4.0
STRANDBERG,CLASSICAL,Right,358.0,3176.75,4.2
Gretsch,  electric  ,  Right-handed  ,396.0,1977.53,3.3
Ibanez,electric,,473.0,643.38,3.3
Ibanez,electric,Right,391.0,1081.99,3.1
Martin,Electric,Right,459.0,611.13,3.1
YAMAHA,Electric,Right,,973.58,4.3
Epiphone,  Electric  ,Right,582.0,154.63,3.0
  Ibanez  ,Electric,  Right  ,448.0,755.2,3.1
Fender,Electric,Right,341.0,1994.6,3.4
martin,electric,Right,456.0,976.71,3.8
  epiphone  ,electric,Right,442.0,456.52,
  GIBSON  ,Acoustic,Right,290.0,3446.72,3.8
Ibanez,Electric,RIGHT,524.0,348.86,
Gibson,Electric,Right,399.0,2120.15,3.0
  IBANEZ  ,Acoustic,Right,366.0,1290.33,3.3
Gibson,Electric,right handed,287.0,3861.29,4.7
GRETSCH,Acoustic,Right,470.0,1865.44,3.9
epiphone,ELECTRIC,Left,156.0,,4.2
Fender,Electric,right handed,402.0,,4.4
  Gibson  ,Classical,RH,462.0,878.79,2.7
Martin,Electric,RH,479.0,629.62,3.1
  strandberg  ,Electric,Right,318.0,3249.81,3.1
Schecter,Electric,Right,384.0,14860.937480714414,2.8
Fender,,,422.0,1708.37,3.9
Yamaha,,Right,407.0,649.28,3.5
epiphone,Electric,Right,496.0,455.5,3.6
  Schecter  ,Electric,Right,458.0,776.81,3.1
Gretsch,Semi-Hollow,  RIGHT  ,438.0,29511.826987718745,3.9
  Gretsch  ,Electric,right handed,361.0,2813.48,
Fender,  ACOUSTIC  ,Right,410.0,1139.09,3.0
Epiphone,Acoustic,Right,497.0,438.16,4.5
Schecter,Electric,RH,361.0,1407.32,2.4
Epiphone,Classical,right,449.0,370.13,2.1
PRS,Electric,Right,,4917.63,5.0
  Martin  ,Electric,  right  ,448.0,1656.84,4.1
  Yamaha  ,  Semi-Hollow  ,R,526.0,667.22,3.1
Fender,Electric,Right,441.0,1725.37,2.8
Martin,Electric,Left,57.0,3454.53,4.4
Gibson,Electric,Right,284.0,2975.58,4.2
  Gretsch  ,Electric,Right,454.0,643.88,3.1
  Gibson  ,,  Right  ,349.0,1321.56,3.3
Epiphone,,right,439.0,776.28,2.6
Yamaha,acoustic,  Right  ,439.0,1198.51,3.6
Gibson,Electric,Right,187.0,2097.67,9.9
prs,Acoustic,RIGHT,229.0,3415.67,5.0
Ibanez,Electric,Right,372.0,1482.93,3.1
Strandberg,Electric,right,325.0,2663.96,3.5
ibanez,Electric,Right,501.0,720.43,2.9
Yamaha,,left handed,126.0,859.31,3.1
Martin,Acoustic,right,343.0,1818.73,4.5
Gibson,electric,Right,264.0,2550.05,3.6
schecter,Electric,Right,318.0,2078.62,3.3
FENDER,Classical,  RIGHT  ,451.0,1730.56,3.7
Strandberg,Electric,Right,244.0,3491.64,4.0
,Electric,RIGHT,399.0,1727.36,3.6
Gretsch,  Electric  ,RIGHT,363.0,1817.81,
Gibson,Electric,  Right  ,334.0,2183.56,
FENDER,Electric,  Right  ,509.0,822.92,3.7
  ibanez  ,,Right,452.0,2907.856314672375,3.3
Ibanez,CLASSICAL,right,404.0,1106.6,3.1
Gibson,  ELECTRIC  ,Right,,1312.69,3.6
Ibanez,  ELECTRIC  ,Right,398.0,973.17,
Ibanez,Electric,Right,369.0,1866.41,3.5
Schecter,  Semi-Hollow  ,Right,512.0,700.43,3.6
Martin,Electric,right handed,254.0,3725.72,
  Gretsch  ,  Classical  ,  Right-handed  ,492.0,1338.31,2.9
Martin,Electric,Right,332.0,1201.71,3.7
  Gretsch  ,,Right,463.0,954.83,3.7
Ibanez,Electric,left handed,,1767.93,3.5
Fender,Electric,Right,-488.0,708.46,3.0
PRS,Electric,  RH  ,407.0,1177.89,3.7
Epiphone,electric,  Right  ,399.0,347.07,2.7
Gibson,Electric,right handed,378.0,1736.24,3.6
Gretsch,electric,Right,333.0,2767.36,4.1
YAMAHA,Electric,  Right  ,558.0,566.78,3.4
Epiphone,  Electric  ,Right,478.0,297.93,3.3
yamaha,Semi-Hollow,  right  ,411.0,1082.43,4.0
Fender,Electric,Right,441.0,1725.37,2.8
Martin,Acoustic,right,284.0,3939.37,4.2
  prs  ,,Right-handed,272.0,4214.39,4.5
Martin,  Electric  ,Right,478.0,1017.55,3.2
  Strandberg  ,electric,Right,359.0,1630.67,3.3
Gibson,Electric,Right,223.0,2837.95,4.3
Fender,,Right,290.0,1398.85,3.7
  FENDER  ,Electric,Right,379.0,1740.55,4.2
Strandberg,Electric,Right,250.0,3022.33,3.3
PRS,ELECTRIC,,456.0,1792.94,3.4
Strandberg,  Electric  ,L,89.0,3340.8,3.8
PRS,bass,Right,523.0,792.84,3.2
